no_early_start_coeff,no_early_start_min_eig_index,no_early_start_min_eig_value,score_coeff,score_min_eig_index,score_min_eig_value,finish_time_2_coeff,finish_time_2_min_eig_index,finish_time_2_min_eig_value,finish_time_1_coeff,finish_time_1_min_eig_index,finish_time_1_min_eig_value,finish_all_jobs_coeff,finish_all_jobs_min_eig_index,finish_all_jobs_min_eig_value,no_overlap_coeff,no_overlap_min_eig_index,no_overlap_min_eig_value
1.4093959731543624,33728,[-383.53840418],1.4093959731543624,33728,[-379.21700224],1.4093959731543624,33728,[-395.82028337],1.4093959731543624,35888,[-391.72632364],1.4093959731543624,33728,[-293.53840418],1.4093959731543624,33728,[-207.63236391]
1.5100671140939597,33728,[-384.54511559],1.5100671140939597,33728,[-379.16107383],1.5100671140939597,33728,[-399.84712901],1.5100671140939597,33728,[-394.74645787],1.5100671140939597,33728,[-294.54511559],1.5100671140939597,33728,[-209.64578673]
1.610738255033557,33728,[-385.55182699],1.610738255033557,33728,[-379.10514541],1.610738255033557,33728,[-403.87397465],1.610738255033557,33728,[-397.7665921],1.610738255033557,33728,[-295.55182699],1.610738255033557,33728,[-211.65920955]
1.7114093959731542,33728,[-386.5585384],1.7114093959731542,33728,[-379.049217],1.7114093959731542,33728,[-407.90082028],1.7114093959731542,35888,[-400.78672632],1.7114093959731542,33728,[-296.5585384],1.7114093959731542,33728,[-213.67263236]
1.8120805369127515,33728,[-387.56524981],1.8120805369127515,33728,[-378.99328859],1.8120805369127515,33728,[-411.92766592],1.8120805369127515,33728,[-403.80686055],1.8120805369127515,33728,[-297.56524981],1.8120805369127515,33728,[-215.68605518]
1.9127516778523488,33728,[-388.57196122],1.9127516778523488,33728,[-378.93736018],1.9127516778523488,33728,[-415.95451156],1.9127516778523488,33728,[-406.82699478],1.9127516778523488,33728,[-298.57196122],1.9127516778523488,33728,[-217.699478]
2.013422818791946,33728,[-389.57867263],2.013422818791946,33728,[-378.88143177],2.013422818791946,33728,[-419.9813572],2.013422818791946,33728,[-409.84712901],2.013422818791946,33728,[-299.57867263],2.013422818791946,33728,[-219.71290082]
2.1140939597315436,33728,[-390.58538404],2.1140939597315436,33728,[-378.82550336],2.1140939597315436,33728,[-424.00820283],2.1140939597315436,33728,[-412.86726324],2.1140939597315436,33728,[-300.58538404],2.1140939597315436,33728,[-221.72632364]
2.2147651006711406,33728,[-391.59209545],2.2147651006711406,33728,[-378.76957494],2.2147651006711406,33728,[-428.03504847],2.2147651006711406,33728,[-415.88739746],2.2147651006711406,33728,[-301.59209545],2.2147651006711406,33728,[-223.73974646]
2.315436241610738,33728,[-392.59880686],2.315436241610738,33728,[-378.71364653],2.315436241610738,33728,[-432.06189411],2.315436241610738,33728,[-418.90753169],2.315436241610738,33728,[-302.59880686],2.315436241610738,33728,[-225.75316928]
2.4161073825503356,33728,[-393.60551827],2.4161073825503356,33728,[-378.65771812],2.4161073825503356,33728,[-436.08873975],2.4161073825503356,33728,[-421.92766592],2.4161073825503356,33728,[-303.60551827],2.4161073825503356,33728,[-227.7665921]
